,Date,Tweet
77,2020-01-01 07:01:01,RT @troyesivan: NOOOO https:\/\/t.co\/gYFuQUnFD4
78,2020-01-01 07:01:01,RT @serenpiditae: OH F*CK NO NONONONONONONONO WE AINT DOING THIS NONONONON https:\/\/t.co\/5IUMve71lB
79,2020-01-01 07:01:01,RT @serenpiditae: OH F*CK NO NONONONONONONONO WE AINT DOING THIS NONONONON https:\/\/t.co\/5IUMve71lB
80,2020-01-01 07:01:01,RT @Contwixt: [whispering] toddler melatonin is a game-changer
81,2020-01-01 07:01:01,"RT @Azeza14569858: Yeniden d\u00fc\u015f\u00fcnmenizi umuyoruz, yoksa \u00e7ok say\u0131da izleyiciyi kaybedersiniz, Aziza'y\u0131 istiyoruz \ud83d\ude29\n\ud83d\ude29\ud83d\ude29\ud83d\ude29\ud83d\udc4f\ud83c\udffc\ud83d\udc4f\ud83c\udffc\ud83d\udc4f\ud83c\udffc\ud83d\udc4f\ud83c\udffc B\u00fct\u00fcn Araplar\u2026"
82,2020-01-01 07:01:01,RT @TheKrackMovie: #KrackFL \ud83d\udd25\n\nSee you in theatres this Summer 2020 \n#HappyNewYear2020 \n\n@RaviTeja_offl | @megopichand | @shrutihaasan | @v\u2026
83,2020-01-01 07:01:01,Central Division responding to '6X - Major Dist (Violence)' at 2000 blk Bennett Ave | Beat 146 | 12:58AM | https:\/\/t.co\/mKDzbZ3feC
84,2020-01-01 07:01:01,RT @Itz_MersalImran: #IMDB: Rating @Dir_Lokesh Movies\n\n#Maanagaram: 8.2 \/ 10\n\n#Kaithi: 8.7 \/ 10\n\n#Master: \u23f3\u23f3\u23f3
85,2020-01-01 07:01:01,@BTS_twt Happy new year G.
86,2020-01-01 07:01:01,Central Division responding to '6X - Major Dist (Violence)' at 2000 blk Bennett Ave | Beat 146 | 12:58AM | https:\/\/t.co\/mKDzbZ3feC
87,2020-01-01 07:01:01,"RT @M_Raj03: Wish you all loads of love, health &amp; sunshine this new year ! #stayblessed #2020 #wintery1st https:\/\/t.co\/6jr51TRycQ"
88,2020-01-01 07:01:01,@DNPthree Happy new year to you!!! Hope you have another amazing year
89,2020-01-01 07:01:01,Fail\u00ean qetl\u00eeama Robosk\u00ee nehi\u015ftin ku b\u00ean derixstin mehkem\u00ea \u00fb di v\u00ee war\u00ee de \u00eeradeya s\u00eeyas\u00ee ti\u015ft\u00ea p\u00eaw\u00eest nekir ku ev y\u2026 https:\/\/t.co\/zyZ9p3MrA2
90,2020-01-01 07:01:01,Church shooting take: The churchgoers that shot the church shooter could have been angels. \n\nI try not to trust my\u2026 https:\/\/t.co\/slBZAIahx0
91,2020-01-01 07:01:01,\ud83c\udf4aday 1\ud83c\udf4a https:\/\/t.co\/tprKnBCsBU
92,2020-01-01 07:01:01,@777nyannyan7777\n\n\u3054\u5fdc\u52df\u3042\u308a\u304c\u3068\u3046\u3054\u3056\u3044\u307e\u3059\uff01\n\u5f53\u843d\u7d50\u679c\u306f\u52d5\u753b\u306e\u6700\u5f8c\u306b\u8868\u793a\u3055\u308c\u308b\u3088\n\u3053\u306e\u30ad\u30e3\u30f3\u30da\u30fc\u30f3\u306f1\u67085\u65e5\u307e\u3067\u6bce\u65e5\u5fdc\u52df\u51fa\u6765\u308b\u306e\u3067\u3001\u660e\u65e5\u3082\u3054\u5fdc\u52df\u304a\u5f85\u3061\u3057\u3066\u304a\u308a\u307e\u3059\u3002\n\n\u307e\u305fQUO\u30ab\u30fc\u30c9\u3055\u3093\u3067\u3082\u540c\u6642\u958b\u50ac\u4e2d\n\u2193\u2026 https:\/\/t.co\/KLv6igx741
93,2020-01-01 07:01:01,@777nyannyan7777\n\n\u3054\u5fdc\u52df\u3042\u308a\u304c\u3068\u3046\u3054\u3056\u3044\u307e\u3059\uff01\n\u5f53\u843d\u7d50\u679c\u306f\u52d5\u753b\u306e\u6700\u5f8c\u306b\u8868\u793a\u3055\u308c\u308b\u3088\n\u3053\u306e\u30ad\u30e3\u30f3\u30da\u30fc\u30f3\u306f1\u67085\u65e5\u307e\u3067\u6bce\u65e5\u5fdc\u52df\u51fa\u6765\u308b\u306e\u3067\u3001\u660e\u65e5\u3082\u3054\u5fdc\u52df\u304a\u5f85\u3061\u3057\u3066\u304a\u308a\u307e\u3059\u3002\n\n\u307e\u305fQUO\u30ab\u30fc\u30c9\u3055\u3093\u3067\u3082\u540c\u6642\u958b\u50ac\u4e2d\n\u2193\u2026 https:\/\/t.co\/KLv6igx741
94,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
95,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
96,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
97,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
98,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
99,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
100,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
101,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
102,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
103,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
104,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
105,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
106,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
107,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
108,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
109,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
110,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
111,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
112,2020-01-01 07:01:01,https:\/\/t.co\/TQ93sx7H9l
